,Index,Adsorbent,Directory,Uptake (mol/kg)
0,0,ABAYIO_clean,MOF_no0000,0.0002279671
1,1,ABAYOU_clean,MOF_no0001,0.0002290903
2,2,ABETIN_clean,MOF_no0002,0.0002951422
3,3,ABEXIQ_clean,MOF_no0003,7.53502e-05
4,4,ABIYIV_clean,MOF_no0004,0.0001398337
5,5,ABULOB_clean,MOF_no0005,0.0007640855
6,6,ABUWOJ_clean,MOF_no0006,0.0003668328
7,7,ac403674p_si_001_clean,MOF_no0007,6.63021e-05
8,8,ACAJIZ_clean,MOF_no0008,9.11301e-05
9,9,ACAJOF_clean,MOF_no0009,9.2505e-05
10,10,ACIBIY_clean,MOF_no0010,2.91356e-05
11,11,ACIBOE_clean,MOF_no0011,0.0001970399
12,12,ACOGAB_clean,MOF_no0012,0.00050004
13,13,ACOGEF_clean,MOF_no0013,0.0004763994
14,14,ACOLIP_clean,MOF_no0014,0.0004008031
15,15,ACOLOV_clean,MOF_no0015,0.0001706736
16,16,acs.cgd.5b01554_VAGNUP1452791_clean,MOF_no0016,3.87561e-05
17,17,acs.cgd.5b01686_WAHFUJ1434675_clean,MOF_no0017,0.0002074867
18,18,acs.chemmater.5b03723_cm5b03723_si_004_clean,MOF_no0018,0.0008201156
19,19,acs.chemmater.5b03723_cm5b03723_si_005_clean,MOF_no0019,0.0003946949
20,20,acs.chemmater.6b02817_cm6b02817_si_004_clean,MOF_no0020,0.0002611901
21,21,acs.chemrev.6b00346_cr6b00346_si_001_clean,MOF_no0021,0.0002942899
22,22,acs.inorgchem.5b02973_ic5b02973_si_002_clean,MOF_no0022,0.0003681128
23,23,acs.inorgchem.6b00081_ic6b00081_si_001_clean,MOF_no0023,0.0001380207
24,24,acs.inorgchem.6b00136_ic6b00136_si_002_clean,MOF_no0024,0.0009458287
25,25,acs.inorgchem.6b00276_ic6b00276_si_006_clean,MOF_no0025,0.0010829283
26,26,acs.inorgchem.6b00433_ic6b00433_si_002_clean,MOF_no0026,0.0002623578
27,27,acs.inorgchem.6b00894_ic6b00894_si_002_clean,MOF_no0027,0.0004003512
28,28,acs.inorgchem.6b01211_ic6b01211_si_002_clean,MOF_no0028,0.0004231525
29,29,acs.inorgchem.6b01416_ic6b01416_si_004_clean,MOF_no0029,0.0002780435
30,30,acs.inorgchem.6b01569_ic6b01569_si_002_clean,MOF_no0030,8.97462e-05
31,31,acs.inorgchem.6b01740_ic6b01740_si_002_clean,MOF_no0031,0.0002993619
32,32,acs.inorgchem.6b01762_ic6b01762_si_002_clean,MOF_no0032,2.99799e-05
33,33,acs.inorgchem.6b02407_ic6b02407_si_002_clean,MOF_no0033,0.0005807688
34,34,acs.inorgchem.6b02407_ic6b02407_si_003_clean,MOF_no0034,0.0005107966
35,35,acs.inorgchem.6b02514_ic6b02514_si_002_clean,MOF_no0035,0.0001305447
36,36,acs.inorgchem.6b02696_ic6b02696_si_002_clean,MOF_no0036,0.0003426609
37,37,acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,MOF_no0037,0.0001685024
38,38,acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,MOF_no0038,0.0001417874
39,39,acscombsci.5b00188_24205_clean,MOF_no0039,0.0004498268
40,40,acscombsci.5b00188_3001288_clean,MOF_no0040,0.0004397252
41,41,acscombsci.5b00188_34903_clean,MOF_no0041,0.0011095929
42,42,acscombsci.5b00188_5013797_clean,MOF_no0042,0.0002832689
43,43,acscombsci.5b00188_5020072_clean,MOF_no0043,0.0002915791
44,44,acscombsci.5b00188_5024922_clean,MOF_no0044,0.0003018877
45,45,acscombsci.5b00188_5036495_clean,MOF_no0045,0.0003649404
46,46,acscombsci.5b00188_5040209_clean,MOF_no0046,0.0005965835
47,47,acscombsci.5b00188_8372_clean,MOF_no0047,0.000677334
48,48,ACUBAB_clean,MOF_no0048,0.0001419132
49,49,ACUFEK_clean,MOF_no0049,0.0002927738
50,50,ACUJOZ_manual,MOF_no0050,0.0002073327
51,51,ACUTOI_clean,MOF_no0051,8.35786e-05
52,52,ADARAA_clean,MOF_no0052,0.0003367207
53,53,ADASEF_clean,MOF_no0053,0.0002985219
54,54,ADASIJ_clean,MOF_no0054,0.0002643836
55,55,ADASOP_clean,MOF_no0055,0.0003379513
56,56,ADASUV_clean,MOF_no0056,0.0002471122
57,57,ADATAC_clean,MOF_no0057,0.0004030375
58,58,ADATEG_manual,MOF_no0058,0.0003446145
59,59,ADATIK_clean,MOF_no0059,0.0003409704
60,60,ADAXEK_clean,MOF_no0060,0.00037663
61,61,ADAXIO_clean,MOF_no0061,0.0001905047
62,62,ADIQEL_clean,MOF_no0062,0.0009579589
63,63,ADOBIF_clean,MOF_no0063,0.0003742057
64,64,ADOCEC_clean,MOF_no0064,0.0001599582
65,65,ADOGEH_clean,MOF_no0065,0.0005733936
66,66,ADUROI_clean,MOF_no0066,0.0002244426
67,67,ADUWIH_clean,MOF_no0067,0.0002151797
68,68,ADUWON_clean,MOF_no0068,0.0003829315
69,69,AFEJOK_ion_b,MOF_no0069,0.0005160813
70,70,AFITEP_clean,MOF_no0070,0.0005994946
71,71,AFITUF_clean,MOF_no0071,0.0001491977
72,72,AFIXAO_clean,MOF_no0072,0.0002287574
73,73,AFIXES_clean,MOF_no0073,0.0002373898
74,74,AFOVEX_clean,MOF_no0074,0.0002393761
75,75,AFOYAW_clean,MOF_no0075,0.000310185
76,76,AFOYEB_clean,MOF_no0076,1.90096e-05
77,77,AFOYIE_clean,MOF_no0077,0.0002379811
78,78,AFOYOK_clean,MOF_no0078,0.0002605384
79,79,AFUKET_clean,MOF_no0079,0.0003751481
80,80,AFUKIX_clean,MOF_no0080,0.0002416538
81,81,AGABIU_clean,MOF_no0081,0.0001866618
82,82,AGIREP_clean,MOF_no0082,0.0002211558
83,83,AGOFEJ_clean,MOF_no0083,0.0002324342
84,84,AGONAM_clean,MOF_no0084,9.02588e-05
85,85,AGONEQ_clean,MOF_no0085,0.0001340885
86,86,AGUBUA_clean,MOF_no0086,0.0021831074
87,87,AHAMAY_clean,MOF_no0087,0.000118193
88,88,AHEQAH_clean,MOF_no0088,0.0002649092
89,89,AHIYOH_clean,MOF_no0089,0.0002720634
90,90,AHOKIR_clean,MOF_no0090,0.0002123049
91,91,AHOKIR01_clean,MOF_no0091,0.0003713014
92,92,AHOKOX_clean,MOF_no0092,0.0002225094
93,93,AJAKON_clean,MOF_no0093,0.0002564519
94,94,AJAYIT_clean,MOF_no0094,3.70602e-05
95,95,AJIGIL_clean,MOF_no0095,8.45867e-05
96,96,AJOTEY_clean,MOF_no0096,0.0002283517
97,97,AJOVEB_clean,MOF_no0097,0.0001924169
98,98,AKEDIF_clean,MOF_no0098,0.0003600068
99,99,AKOBAF_clean,MOF_no0099,0.0002768539
100,100,AKOXIJ_clean,MOF_no0100,0.0020003861
101,101,AKUKUO_clean,MOF_no0101,0.0002877812
102,102,ALAMUW_clean,MOF_no0102,0.0003558367
103,103,ALANAD_clean,MOF_no0103,0.0002747084
104,104,ALEJEI_clean,MOF_no0104,0.0002589686
105,105,ALEJIM_clean,MOF_no0105,0.0004279198
106,106,ALICAA_clean,MOF_no0106,0.0001227714
107,107,ALIXAU_clean_h,MOF_no0107,0.0001278434
108,108,ALIXOJ_clean,MOF_no0108,0.0002168117
109,109,ALIXUP_clean,MOF_no0109,3.87241e-05
110,110,ALOLES_ion_b,MOF_no0110,1.56444e-05
111,111,ALOLIY_clean,MOF_no0111,1.72041e-05
112,112,ALONEV_clean,MOF_no0112,5.33096e-05
113,113,ALUJIB_clean,MOF_no0113,0.0002069288
114,114,ALUKIC_clean,MOF_no0114,0.0001872282
115,115,ALULEZ_clean,MOF_no0115,0.0001970738
116,116,ALULID_clean,MOF_no0116,0.0002160326
117,117,ALURAB_clean,MOF_no0117,0.000156037
118,118,ALUREF_clean,MOF_no0118,0.0001737973
119,119,ALURIJ_clean,MOF_no0119,0.0001789501
120,120,am301365h_si_002_clean,MOF_no0120,0.0001882666
121,121,AMAFOK_clean,MOF_no0121,0.0001808651
122,122,AMAGAX_clean,MOF_no0122,0.0001572293
123,123,AMILOY_clean,MOF_no0123,0.0002651263
124,124,AMILUE_clean,MOF_no0124,0.0002815106
