,Adsorbent,CO2_20C_0.5bar,CO2_20C_1bar,CO2_20C_5bar
0,ABAYIO_clean,10.67714801,11.01344849,12.08219644
1,ABAYOU_clean,10.01814681,10.32347382,11.08638329
2,ABETIN_clean,0.681629244,1.45553297,9.78663162
3,ABEXIQ_clean,4.328635132,4.548918473,4.79859236
4,ABIYIV_clean,2.098319414,2.100076075,2.110586544
5,ABULOB_clean,8.646625905,8.646637915,8.646699462
6,ABUWOJ_clean,7.707031281,7.969943292,8.878954861
7,ac403674p_si_001_clean,0.049406396,0.09958758,0.522460187
8,ACAJIZ_clean,1.712657465,2.52604161,3.373661497
9,ACAJOF_clean,1.486937524,2.251843426,3.480542621
10,ACIBIY_clean,2.294911747,2.35394865,2.545895212
11,ACIBOE_clean,10.41926775,10.90390371,11.50510999
12,ACOGAB_clean,4.802278143,5.105036586,5.965686486
13,ACOGEF_clean,4.39160928,4.635057559,5.24401051
14,ACOLIP_clean,4.519935248,4.831572128,6.334489805
15,ACOLOV_clean,8.546278993,9.117753294,11.33639233
16,acs.cgd.5b01554_VAGNUP1452791_clean,0.888666403,1.357212506,2.896927697
17,acs.cgd.5b01686_WAHFUJ1434675_clean,3.234080728,3.621223591,4.337031124
18,acs.chemmater.5b03723_cm5b03723_si_004_clean,11.10804977,11.81942695,13.99256053
19,acs.chemmater.5b03723_cm5b03723_si_005_clean,12.29576706,13.85843784,17.95013461
20,acs.chemmater.6b02817_cm6b02817_si_004_clean,13.4414953,14.02590648,14.62703273
21,acs.chemrev.6b00346_cr6b00346_si_001_clean,7.238263284,7.711883427,10.11150726
22,acs.inorgchem.5b02973_ic5b02973_si_002_clean,0.971878814,1.181804368,2.227794411
23,acs.inorgchem.6b00081_ic6b00081_si_001_clean,0.476731831,0.901849436,2.555972497
24,acs.inorgchem.6b00136_ic6b00136_si_002_clean,7.858598008,8.167873006,9.032641418
25,acs.inorgchem.6b00276_ic6b00276_si_006_clean,11.53522066,12.32508645,14.02037385
26,acs.inorgchem.6b00433_ic6b00433_si_002_clean,1.356848551,2.26262603,4.176877245
27,acs.inorgchem.6b00894_ic6b00894_si_002_clean,4.455310128,4.889863197,5.77014768
28,acs.inorgchem.6b01211_ic6b01211_si_002_clean,15.07540149,15.72765497,17.50398359
29,acs.inorgchem.6b01416_ic6b01416_si_004_clean,3.036066997,3.505285246,4.284339633
30,acs.inorgchem.6b01569_ic6b01569_si_002_clean,3.253732925,3.754225634,4.917144442
31,acs.inorgchem.6b01740_ic6b01740_si_002_clean,0.773600456,1.570984335,8.312818592
32,acs.inorgchem.6b01762_ic6b01762_si_002_clean,4.453458521,4.525407276,4.736366044
33,acs.inorgchem.6b02407_ic6b02407_si_002_clean,8.769298039,9.613318313,12.56101131
34,acs.inorgchem.6b02407_ic6b02407_si_003_clean,8.384307829,8.71018441,9.32156248
35,acs.inorgchem.6b02514_ic6b02514_si_002_clean,0.401828338,0.78120418,2.723604317
36,acs.inorgchem.6b02696_ic6b02696_si_002_clean,10.1639323,11.27762281,12.9937357
37,acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,7.608024634,7.978726336,8.356897129
38,acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,19.56702059,21.69770741,25.50088832
39,acscombsci.5b00188_24205_clean,5.954029321,6.053453205,6.676124963
40,acscombsci.5b00188_3001288_clean,50.4253818,56.10193482,71.89000967
41,acscombsci.5b00188_34903_clean,5.477040257,5.764902712,6.215083639
42,acscombsci.5b00188_5013797_clean,13.17658778,14.15038394,17.03387108
43,acscombsci.5b00188_5020072_clean,14.57623274,17.13657825,23.51176399
44,acscombsci.5b00188_5024922_clean,27.63259636,30.92765956,41.18454154
45,acscombsci.5b00188_5036495_clean,17.62327807,20.16381964,29.65544264
46,acscombsci.5b00188_5040209_clean,6.971889502,7.386030482,8.32545867
47,acscombsci.5b00188_8372_clean,7.452240345,7.555403229,8.468615929
48,ACUBAB_clean,2.6247665,2.637506845,2.657286086
49,ACUFEK_clean,13.87350985,15.69413236,22.06017312
50,ACUJOZ_manual,17.54490218,18.00089549,19.32508197
51,ACUTOI_clean,0.298025143,0.503004827,1.303216086
52,ADARAA_clean,11.08384064,11.96901335,13.76589203
53,ADASEF_clean,11.00624636,12.80350927,19.79343733
54,ADASIJ_clean,14.17985318,14.5820841,15.36962169
55,ADASOP_clean,14.64862595,15.44440199,15.73675922
56,ADASUV_clean,13.26923904,13.65498486,14.92851631
57,ADATAC_clean,12.35803263,15.10479769,26.41053164
58,ADATEG_manual,15.33771282,19.50194784,32.81424516
59,ADATIK_clean,13.06185382,14.94935784,22.97237322
60,ADAXEK_clean,3.717774224,3.996854892,4.600619119
61,ADAXIO_clean,3.411445358,3.631197489,4.334481824
62,ADIQEL_clean,2.961694108,3.344873751,4.607719666
63,ADOBIF_clean,6.029703187,6.134951598,6.567623832
64,ADOCEC_clean,5.770314797,5.909744464,6.635716945
65,ADOGEH_clean,11.41250423,11.41277282,11.41744132
66,ADUROI_clean,15.20617311,17.02699792,21.67005695
67,ADUWIH_clean,13.90226508,15.02413856,17.75268542
68,ADUWON_clean,21.73149602,23.00307002,26.891686
69,AFEJOK_ion_b,9.415173179,9.499969188,9.604901264
70,AFITEP_clean,4.14614313,4.375258124,5.132800577
71,AFITUF_clean,3.701518518,3.961000884,4.65169397
72,AFIXAO_clean,0.725887212,1.2044596,3.084819678
73,AFIXES_clean,0.721930356,1.197810528,3.162596122
74,AFOVEX_clean,6.106906878,6.783202645,9.113262549
75,AFOYAW_clean,2.662041018,3.575401478,6.669108909
76,AFOYEB_clean,0.069446934,0.127251657,0.536462477
77,AFOYIE_clean,0.601658836,1.220953776,7.228411029
78,AFOYOK_clean,0.879100165,1.886779542,6.501804374
79,AFUKET_clean,6.441427948,6.923389409,8.129944797
80,AFUKIX_clean,9.847519886,10.36823037,12.1316966
81,AGABIU_clean,14.22812143,14.93421643,16.86729702
82,AGIREP_clean,12.0338083,12.35526517,13.06268512
83,AGOFEJ_clean,11.90954037,13.66248085,18.60089752
