Adsorbent,CO2_10C_0.5bar,CO2_10C_1bar,CO2_10C_5bar
ABAYIO_clean,11.04971635,11.44493664,12.35409964
ABAYOU_clean,10.31571163,10.57938285,11.41101999
ABETIN_clean,0.87679378,1.880557747,12.87682372
ABEXIQ_clean,4.561809307,4.681793598,4.948910064
ABIYIV_clean,2.098793538,2.111806812,2.139426153
ABULOB_clean,8.646625905,8.646625905,8.646361703
ABUWOJ_clean,7.896473631,8.256659774,9.133497136
ac403674p_si_001_clean,0.061907175,0.1232953,0.660287003
ACAJIZ_clean,2.334076124,2.945546113,3.47969862
ACAJOF_clean,2.037320817,2.717072325,3.754624208
ACIBIY_clean,2.319230658,2.417568002,2.677733846
ACIBOE_clean,10.99602612,11.03266058,11.72444538
ACOGAB_clean,5.021435307,5.281881808,6.240749021
ACOGEF_clean,4.614903615,4.863547306,5.47262089
ACOLIP_clean,4.805211173,5.310280618,6.816878397
ACOLOV_clean,8.890817991,9.691254942,12.24972908
acs.cgd.5b01554_VAGNUP1452791_clean,1.159907741,1.638546128,3.305201535
acs.cgd.5b01686_WAHFUJ1434675_clean,3.584163271,3.960268297,4.453834749
acs.chemmater.5b03723_cm5b03723_si_004_clean,11.6203073,12.45046383,14.65814866
acs.chemmater.5b03723_cm5b03723_si_005_clean,13.21226967,15.00211631,19.02896208
acs.chemmater.6b02817_cm6b02817_si_004_clean,13.74185625,14.22166353,14.89644975
acs.chemrev.6b00346_cr6b00346_si_001_clean,7.41816594,8.057941453,10.81453357
acs.inorgchem.5b02973_ic5b02973_si_002_clean,1.081282253,1.347492089,2.568737571
acs.inorgchem.6b00081_ic6b00081_si_001_clean,0.634252113,1.235228811,2.838741057
acs.inorgchem.6b00136_ic6b00136_si_002_clean,8.056042256,8.369526492,9.391556428
acs.inorgchem.6b00276_ic6b00276_si_006_clean,12.07833208,12.80566474,14.46163029
acs.inorgchem.6b00433_ic6b00433_si_002_clean,1.818841778,2.800799887,4.557462869
acs.inorgchem.6b00894_ic6b00894_si_002_clean,4.783295566,5.119303772,6.039958496
acs.inorgchem.6b01211_ic6b01211_si_002_clean,15.4518779,16.29189929,18.16356002
acs.inorgchem.6b01416_ic6b01416_si_004_clean,3.389819562,3.791834339,4.4791759
acs.inorgchem.6b01569_ic6b01569_si_002_clean,3.654876609,4.210281744,5.255654808
acs.inorgchem.6b01740_ic6b01740_si_002_clean,0.978399215,1.994916004,10.40762286
acs.inorgchem.6b01762_ic6b01762_si_002_clean,4.483039486,4.586597849,4.83494082
acs.inorgchem.6b02407_ic6b02407_si_002_clean,9.481905971,10.66623108,13.05568402
acs.inorgchem.6b02407_ic6b02407_si_003_clean,8.648522628,8.806195515,9.463743536
acs.inorgchem.6b02514_ic6b02514_si_002_clean,0.523495963,1.013250878,3.193196016
acs.inorgchem.6b02696_ic6b02696_si_002_clean,10.93797498,11.79093016,13.39108969
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,7.909466534,8.148237963,8.40489725
acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,21.03627391,23.03401221,26.35414413
acscombsci.5b00188_24205_clean,6.041958306,6.266460386,6.953923416
acscombsci.5b00188_3001288_clean,53.92209689,59.41576418,76.54972806
acscombsci.5b00188_34903_clean,5.637080708,5.894378266,6.405318435
acscombsci.5b00188_5013797_clean,13.81964206,14.92794278,17.39480942
acscombsci.5b00188_5020072_clean,16.17260739,18.60448455,24.92734225
acscombsci.5b00188_5024922_clean,29.88421671,33.1789277,43.42485939
acscombsci.5b00188_5036495_clean,19.1290484,22.33013217,32.96228095
acscombsci.5b00188_5040209_clean,7.315003737,7.738135866,8.473726319
acscombsci.5b00188_8372_clean,7.523738811,7.720288645,8.726793694
ACUBAB_clean,2.642896778,2.645729504,2.65839647
ACUFEK_clean,14.86983658,17.07112647,23.9359542
ACUJOZ_manual,17.89322416,18.33948029,19.65442182
ACUTOI_clean,0.396460074,0.658099764,1.562593761
ADARAA_clean,11.77842137,12.58514781,14.29115702
ADASEF_clean,12.08814183,13.86915188,22.07742361
ADASIJ_clean,14.66363071,14.86991274,15.49376178
ADASOP_clean,15.08821238,15.33730817,15.82869298
ADASUV_clean,13.78699073,13.95687483,15.33242304
ADATAC_clean,13.52892643,16.79688885,29.96869718
ADATEG_manual,17.43744013,22.16965147,36.23556893
ADATIK_clean,14.16903206,16.53987668,25.58106841
ADAXEK_clean,3.873061854,4.184769194,4.705101109
ADAXIO_clean,3.580720305,3.858126393,4.497800214
ADIQEL_clean,3.257073887,3.739075787,5.00444172
