Adsorbent,O2_20C_0.001bar,O2_20C_0.5bar,O2_20C_1bar,O2_20C_5bar,O2_20C_15bar
ABAYIO_clean,0.0002279671,0.107577674,0.207035731,0.909236519,2.19816193
ABAYOU_clean,0.0002290903,0.114573175,0.218616597,0.954939269,2.278860175
ABETIN_clean,0.0002951422,0.157023479,0.307883694,1.513493696,4.284861006
ABEXIQ_clean,7.53502e-05,0.034678939,0.068649983,0.312973013,0.778791929
ABIYIV_clean,0.0001398337,0.067580099,0.128687427,0.497930336,1.007825192
ABULOB_clean,0.0007640855,0.37634139,0.696500728,2.3864042,3.976254502
ABUWOJ_clean,0.0003668328,0.179857109,0.353789373,1.488952345,3.388001899
ac403674p_si_001_clean,6.63021e-05,0.039870267,0.079437438,0.383578221,1.028045554
ACAJIZ_clean,9.11301e-05,0.043398872,0.088096347,0.389680367,0.997588082
ACAJOF_clean,9.2505e-05,0.042294345,0.083610272,0.398356692,1.034668217
ACIBIY_clean,2.91356e-05,0.012636697,0.024870156,0.119676265,0.334665598
ACIBOE_clean,0.0001970399,0.100038926,0.201387294,0.928003268,2.327992028
ACOGAB_clean,0.00050004,0.250968266,0.477301679,1.745369293,3.278811729
ACOGEF_clean,0.0004763994,0.226430801,0.436136507,1.609583916,3.006540345
ACOLIP_clean,0.0004008031,0.198430139,0.386439396,1.530598022,3.111162193
ACOLOV_clean,0.0001706736,0.097239302,0.197646433,0.893275426,2.457220022
acs.cgd.5b01554_VAGNUP1452791_clean,3.87561e-05,0.018201547,0.035813446,0.177216163,0.495662485
acs.cgd.5b01686_WAHFUJ1434675_clean,0.0002074867,0.089362936,0.175583929,0.733831517,1.62927467
acs.chemmater.5b03723_cm5b03723_si_004_clean,0.0008201156,0.292320249,0.504743501,1.778285578,3.794519954
acs.chemmater.5b03723_cm5b03723_si_005_clean,0.0003946949,0.213640455,0.423997049,1.788804647,4.300958743
acs.chemmater.6b02817_cm6b02817_si_004_clean,0.0002611901,0.126206175,0.251768664,1.167504381,3.09453095
acs.chemrev.6b00346_cr6b00346_si_001_clean,0.0002942899,0.170817352,0.340267333,1.532959767,3.895000625
acs.inorgchem.5b02973_ic5b02973_si_002_clean,0.0003681128,0.179142324,0.329134617,1.085559755,2.146226085
acs.inorgchem.6b00081_ic6b00081_si_001_clean,0.0001380207,0.063279737,0.126785829,0.56080577,1.357056936
acs.inorgchem.6b00136_ic6b00136_si_002_clean,0.0009458287,0.404352782,0.748397484,2.196252315,3.525545613
acs.inorgchem.6b00276_ic6b00276_si_006_clean,0.0010829283,0.446741757,0.777758494,2.46159452,4.896260157
acs.inorgchem.6b00433_ic6b00433_si_002_clean,0.0002623578,0.142824889,0.273052567,1.136461282,2.423638368
acs.inorgchem.6b00894_ic6b00894_si_002_clean,0.0004003512,0.216023188,0.403609073,1.553783093,2.97598223
acs.inorgchem.6b01211_ic6b01211_si_002_clean,0.0004231525,0.205991976,0.39891665,1.592972018,3.733792843
acs.inorgchem.6b01416_ic6b01416_si_004_clean,0.0002780435,0.13614562,0.26658232,1.032099239,2.147291955
acs.inorgchem.6b01569_ic6b01569_si_002_clean,8.97462e-05,0.031084815,0.063050773,0.300324725,0.778437999
acs.inorgchem.6b01740_ic6b01740_si_002_clean,0.0002993619,0.181103384,0.352944158,1.693314173,4.814686744
acs.inorgchem.6b01762_ic6b01762_si_002_clean,2.99799e-05,0.01574715,0.031024614,0.145875417,0.377381968
acs.inorgchem.6b02407_ic6b02407_si_002_clean,0.0005807688,0.269642305,0.521971169,2.180705053,4.767952902
acs.inorgchem.6b02407_ic6b02407_si_003_clean,0.0005107966,0.249316564,0.48048702,1.889470512,3.757163363
acs.inorgchem.6b02514_ic6b02514_si_002_clean,0.0001305447,0.064328849,0.127997855,0.572936787,1.448135497
acs.inorgchem.6b02696_ic6b02696_si_002_clean,0.0003426609,0.164673049,0.322741503,1.413214804,3.466305083
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,0.0001685024,0.072660003,0.14425578,0.649406423,1.575713704
acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,0.0001417874,0.071609482,0.141741632,0.702057873,2.017089986
acscombsci.5b00188_24205_clean,0.0004498268,0.215882426,0.419198068,1.624438105,3.268040453
acscombsci.5b00188_3001288_clean,0.0004397252,0.182066236,0.364842029,1.811897839,5.186559189
acscombsci.5b00188_34903_clean,0.0011095929,0.48879992,0.88423405,2.423953643,3.600257312
acscombsci.5b00188_5013797_clean,0.0002832689,0.11764722,0.234107543,1.098233342,2.998046721
acscombsci.5b00188_5020072_clean,0.0002915791,0.119835532,0.241403182,1.168201182,3.255702616
acscombsci.5b00188_5024922_clean,0.0003018877,0.142376648,0.28129531,1.36634378,3.879440047
acscombsci.5b00188_5036495_clean,0.0003649404,0.139190022,0.28607855,1.401423432,3.96695474
acscombsci.5b00188_5040209_clean,0.0005965835,0.293410049,0.549895519,1.821078629,3.452716263
acscombsci.5b00188_8372_clean,0.000677334,0.322700449,0.535160064,1.579544732,2.998646451
ACUBAB_clean,0.0001419132,0.065659435,0.129699674,0.519081831,1.082470351
ACUFEK_clean,0.0002927738,0.149976294,0.300754788,1.393778834,3.798932962
ACUJOZ_manual,0.0002073327,0.106628693,0.214058376,1.016518118,2.841753249
ACUTOI_clean,8.35786e-05,0.039152534,0.076553512,0.327168015,0.755094088
ADARAA_clean,0.0003367207,0.175855213,0.343690351,1.500736842,3.642867038
ADASEF_clean,0.0002985219,0.169896865,0.342257721,1.548949555,3.993967068
ADASIJ_clean,0.0002643836,0.139962434,0.27501436,1.26561516,3.470664583
ADASOP_clean,0.0003379513,0.170261314,0.338054115,1.477537604,3.801786378
ADASUV_clean,0.0002471122,0.135494938,0.272774985,1.266011115,3.369135088
ADATAC_clean,0.0004030375,0.200626695,0.394009462,1.833406851,4.802874318
ADATEG_manual,0.0003446145,0.174142304,0.347974454,1.67887551,4.9899485
ADATIK_clean,0.0003409704,0.158430369,0.309247171,1.481231365,3.994118198
ADAXEK_clean,0.00037663,0.175443906,0.336214569,1.207320431,2.347210948
ADAXIO_clean,0.0001905047,0.09381701,0.18306519,0.747893645,1.655926221
ADIQEL_clean,0.0009579589,0.41736118,0.756367189,2.395421152,3.832441587
ADOBIF_clean,0.0003742057,0.144986292,0.262480737,0.832176657,1.659056156
ADOCEC_clean,0.0001599582,0.07707766,0.149253633,0.623429799,1.436227885
ADOGEH_clean,0.0005733936,0.243684493,0.447376312,1.542368691,3.291897982
ADUROI_clean,0.0002244426,0.101628041,0.200533882,0.968329697,2.845945141
ADUWIH_clean,0.0002151797,0.113406389,0.226823469,1.063529047,2.982405453
ADUWON_clean,0.0003829315,0.164124425,0.325556547,1.556145097,4.119470636
AFEJOK_ion_b,0.0005160813,0.246634943,0.469080802,1.92541173,3.929500643
AFITEP_clean,0.0005994946,0.296543984,0.566931478,2.078560928,3.812366159
AFITUF_clean,0.0001491977,0.114062535,0.21930583,0.882863361,1.930043082
AFIXAO_clean,0.0002287574,0.109308279,0.20975113,0.853858644,1.90106802
AFIXES_clean,0.0002373898,0.108659774,0.211039509,0.849890997,1.905233132
AFOVEX_clean,0.0002393761,0.127152422,0.248432843,1.08900098,2.684284494
AFOYAW_clean,0.000310185,0.163575948,0.321823849,1.395850556,3.224425724
AFOYEB_clean,1.90096e-05,0.009573725,0.019223489,0.092907195,0.243938712
AFOYIE_clean,0.0002379811,0.126979941,0.248480649,1.195727774,3.29401888
AFOYOK_clean,0.0002605384,0.122161519,0.244044192,1.118881385,2.87525372
AFUKET_clean,0.0003751481,0.17755047,0.327912004,1.204346355,2.629011615
AFUKIX_clean,0.0002416538,0.120803661,0.239915745,1.072545509,2.819765174
AGABIU_clean,0.0001866618,0.067004415,0.13399806,0.667398573,1.854162125
AGIREP_clean,0.0002211558,0.106099707,0.212975484,0.980480958,2.561919236
AGOFEJ_clean,0.0002324342,0.125866038,0.249718615,1.167217854,3.157058201
AGONAM_clean,9.02588e-05,0.047361518,0.094435068,0.434018786,1.077019663
AGONEQ_clean,0.0001340885,0.077018532,0.151640711,0.720105174,1.917638281
AGUBUA_clean,0.0021831074,0.851294956,1.398866752,2.926626046,3.856635827
AHAMAY_clean,0.000118193,0.058556775,0.11192586,0.397531476,0.709966914
