Adsorbent,O2_30C_0.001bar,O2_30C_0.5bar,O2_30C_1bar,O2_30C_5bar
ABAYIO_clean,0.0001909224,0.089400148,0.176397522,0.774938251
ABAYOU_clean,0.0001932425,0.093240888,0.183430225,0.807701397
ABETIN_clean,0.000265628,0.137274123,0.267925776,1.328418684
ABEXIQ_clean,6.64272e-05,0.028712393,0.056878497,0.264987823
ABIYIV_clean,0.0001059677,0.053813034,0.106680006,0.426303799
ABULOB_clean,0.000628982,0.300051429,0.564180331,2.045932797
ABUWOJ_clean,0.0002954491,0.142436202,0.282843918,1.242418921
ac403674p_si_001_clean,5.4936e-05,0.034795318,0.069575481,0.336848534
ACAJIZ_clean,7.5638e-05,0.036709014,0.073767966,0.335435195
ACAJOF_clean,7.11577e-05,0.035975543,0.071586403,0.340293806
ACIBIY_clean,2.33085e-05,0.010586715,0.021447305,0.106228433
ACIBOE_clean,0.0001546389,0.085158669,0.167536331,0.785648143
ACOGAB_clean,0.0003739038,0.196144062,0.388317087,1.494635279
ACOGEF_clean,0.0003578107,0.180048309,0.359225605,1.365434328
ACOLIP_clean,0.0003682019,0.158539682,0.309941617,1.270752958
ACOLOV_clean,0.0001595081,0.083315843,0.167277694,0.777000432
acs.cgd.5b01554_VAGNUP1452791_clean,3.22968e-05,0.016318183,0.03208732,0.158660274
acs.cgd.5b01686_WAHFUJ1434675_clean,0.0001493448,0.073526682,0.143478209,0.603297287
acs.chemmater.5b03723_cm5b03723_si_004_clean,0.0006782578,0.242346391,0.422133474,1.514691542
acs.chemmater.5b03723_cm5b03723_si_005_clean,0.0003631193,0.178707325,0.352446757,1.548888037
acs.chemmater.6b02817_cm6b02817_si_004_clean,0.0002393332,0.10784637,0.216880663,0.993633747
acs.chemrev.6b00346_cr6b00346_si_001_clean,0.0002996733,0.144778078,0.289392861,1.330683899
acs.inorgchem.5b02973_ic5b02973_si_002_clean,0.0002829164,0.138749582,0.258696478,0.942257792
acs.inorgchem.6b00081_ic6b00081_si_001_clean,0.0001090364,0.052653523,0.105305665,0.478129981
acs.inorgchem.6b00136_ic6b00136_si_002_clean,0.0006688789,0.324647215,0.583210395,1.902466512
acs.inorgchem.6b00276_ic6b00276_si_006_clean,0.0008768932,0.367748708,0.6440278,2.150491521
acs.inorgchem.6b00433_ic6b00433_si_002_clean,0.0002421764,0.115565242,0.227620271,0.955252777
acs.inorgchem.6b00894_ic6b00894_si_002_clean,0.0003744858,0.172902219,0.329828628,1.305646344
acs.inorgchem.6b01211_ic6b01211_si_002_clean,0.000372725,0.173481582,0.330637807,1.362424039
acs.inorgchem.6b01416_ic6b01416_si_004_clean,0.0002365175,0.113057177,0.217886795,0.885902528
acs.inorgchem.6b01569_ic6b01569_si_002_clean,4.89525e-05,0.027142781,0.053734848,0.258675697
acs.inorgchem.6b01740_ic6b01740_si_002_clean,0.0003592343,0.1589823,0.314594138,1.504159715
acs.inorgchem.6b01762_ic6b01762_si_002_clean,3.38235e-05,0.013569377,0.025953394,0.119833621
acs.inorgchem.6b02407_ic6b02407_si_002_clean,0.0003825144,0.21904545,0.427763013,1.825288567
acs.inorgchem.6b02407_ic6b02407_si_003_clean,0.0004046722,0.207110536,0.392755952,1.597448785
acs.inorgchem.6b02514_ic6b02514_si_002_clean,0.0001091828,0.054934381,0.108998859,0.493160944
acs.inorgchem.6b02696_ic6b02696_si_002_clean,0.0002627926,0.137785761,0.269468035,1.203614528
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,0.0001135174,0.060093272,0.119810518,0.550303961
acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,0.0001051971,0.064071883,0.128306135,0.639920701
acscombsci.5b00188_24205_clean,0.0003708032,0.178425225,0.348317925,1.382098973
acscombsci.5b00188_3001288_clean,0.0002898189,0.17119303,0.336759577,1.661501814
acscombsci.5b00188_34903_clean,0.0008845778,0.398954894,0.711560754,2.137750933
