Adsorbent,O2_40C_0.001bar,O2_40C_0.5bar,O2_40C_1bar,O2_40C_5bar,RMSE_Langmuir,RMSE_Freundlich,RMSE_Quadratic,RMSE_Sips,best_model,best_params
ABAYIO_clean,0.0001362103,0.0752126153,0.1442114173,0.657037656,0.0009604457051404097,7.5731986633018e-05,0.0009378565303979316,,Freundlich,[0.14428802 1.06168893]
ABAYOU_clean,0.0001613154,0.0783292913,0.1541352282,0.6849089753,1.5669542809801192e-05,0.00110143345001188,7.63860179907601e-05,6.066044016494035e-07,Sips,[4.98280633 0.03192083 0.99904514]
ABETIN_clean,0.000239586,0.120539559,0.2412466546,1.156021767,0.00032260713291806917,0.0009346272879115762,0.00028785671287944023,7.389924034412728e-06,Sips,[15.30374207  0.01601637  1.01251201]
ABEXIQ_clean,5.35383e-05,0.0237194505,0.0475420118,0.2227788214,0.00010956992597190334,0.0002920014961554063,9.759535833133942e-05,5.7671156549541145e-06,Sips,[1.89578289 0.02572277 1.02158782]
ABIYIV_clean,7.64716e-05,0.0438291261,0.0845655241,0.3549176012,0.0002197467451852708,0.0007002953154005209,0.0002850694775801295,1.3821923557077017e-05,Sips,[2.21459358 0.03970184 0.97554917]
ABULOB_clean,0.0004473428,0.2411898236,0.4538187611,1.7309674395,0.0021798314883961895,0.005388109266794682,0.0030706863453633937,0.00010712528693497707,Sips,[7.5861157  0.06362939 0.95439459]
ABUWOJ_clean,0.0002458771,0.1169343853,0.2307873755,1.0194599549,0.00017028297803157625,0.00191054606335926,5.843523238940092e-05,8.882428018593068e-06,Sips,[6.47326354 0.03697044 1.00693306]
ac403674p_si_001_clean,8.14568e-05,0.0305804017,0.0610471428,0.2959155395,2.949561076570343e-05,0.00014320169305020693,2.785423625757668e-05,1.079764152175974e-05,Sips,[6.39767304 0.00963397 1.00420282]
ACAJIZ_clean,7.01702e-05,0.0312175157,0.0627421396,0.288308192,0.00021800894913160816,0.0005283001408740644,0.00019224435502468646,9.157752791081782e-06,Sips,[1.82503856 0.03560237 1.03263438]
ACAJOF_clean,6.58209e-05,0.0301833081,0.061384171,0.2980403765,0.00027125960974947025,0.0003641082858206728,0.0002521749429433141,9.3071333554382e-06,Sips,[2.64724295 0.02373833 1.04139585]
ACIBIY_clean,1.63159e-05,0.0091252729,0.0176993002,0.0905336626,,0.0001474845186944376,0.00012238487578259237,,Quadratic,[9.14661176e-05 1.76312735e-02 8.81643066e-05]
ACIBOE_clean,0.0001371797,0.0704854283,0.1423975256,0.6781067343,0.0005043576985364474,0.0008980230229448293,0.0004599532840299921,1.0528492581741243e-05,Sips,[5.65654452 0.02582399 1.0332083 ]
ACOGAB_clean,0.0003558843,0.1619971878,0.3137052646,1.2588776891,7.324032830748149e-05,0.004107984871514857,0.0005119558300080162,8.42025306406681e-06,Sips,[5.17151852 0.06457741 0.99780098]
ACOGEF_clean,0.000300561,0.1495587465,0.2881664404,1.1450372372,0.000286152518555818,0.0037392627227253376,0.0007218028707162859,1.3464393692050674e-05,Sips,[4.7240187  0.06496315 0.99059059]
ACOLIP_clean,0.0002454679,0.1296281623,0.2518731095,1.0506084965,0.0002084779538439029,0.0025871934630890903,0.00044210086965059905,1.6674931828691028e-05,Sips,[5.39710499 0.04895283 0.99220818]
ACOLOV_clean,0.0001658884,0.0726224232,0.1456149052,0.6906156539,0.00029638492008521344,0.0007504547365064109,0.00026839227904905925,1.7751209245407476e-05,Sips,[6.95210854 0.02139346 1.01903869]
acs.cgd.5b01554_VAGNUP1452791_clean,3.22968e-05,0.0147891603,0.0291907591,0.1434134225,7.026261556507913e-05,3.363912254077568e-05,6.518916800202015e-05,,Freundlich,[0.02923009 1.01189665]
acs.cgd.5b01686_WAHFUJ1434675_clean,0.000121984,0.060891653,0.1207253516,0.5172643999,0.00032673392327941023,0.0014396602742962079,0.00022279968839665308,7.666426948175196e-06,Sips,[2.35350974 0.05406933 1.0255532 ]
acs.chemmater.5b03723_cm5b03723_si_004_clean,0.000540833,0.1992526384,0.3680457382,1.3443380059,0.002693115537947648,0.004432739566335689,0.003636861203782872,4.824144775048342e-05,Sips,[5.71522463 0.0688304  0.9301667 ]
acs.chemmater.5b03723_cm5b03723_si_005_clean,0.0003315437,0.149994587,0.2977262565,1.3610080024,0.0002750686082019896,0.001897029964866805,0.00019319202005270048,2.168939409060646e-05,Sips,[11.10745843  0.02754237  1.0086454 ]
acs.chemmater.6b02817_cm6b02817_si_004_clean,0.0002043621,0.0926372383,0.1842187877,0.8608355281,0.00012405228786675708,0.0008838595118984316,9.457029039092167e-05,1.2192264139241183e-05,Sips,[9.22788133 0.02036989 1.00627961]
acs.chemrev.6b00346_cr6b00346_si_001_clean,0.0002458397,0.1240144888,0.2472968418,1.125743272,0.0005082210234457203,0.001898475425881568,0.00041180208323467427,1.1139909347641467e-05,Sips,[7.72888314 0.03305403 1.01930625]
acs.inorgchem.5b02973_ic5b02973_si_002_clean,0.0002395144,0.1116330125,0.2152511329,0.7928570511,0.00043673205531385853,0.004322658657467208,0.0001867873657509167,1.5631680430494633e-05,Sips,[2.23492054 0.10657716 1.01942339]
acs.inorgchem.6b00081_ic6b00081_si_001_clean,9.38541e-05,0.0441583476,0.0885416689,0.4153222743,0.00020852851136990585,0.000542555669473126,0.00018523773717318422,7.946573725317837e-06,Sips,[3.54281953 0.02563241 1.02207366]
acs.inorgchem.6b00136_ic6b00136_si_002_clean,0.0005509002,0.2489929137,0.4558854507,1.6469577778,0.004056928041391739,0.005126558045701269,0.00532103551184406,0.0001614912423446383,Sips,[7.39353831 0.06571322 0.91508947]
acs.inorgchem.6b00276_ic6b00276_si_006_clean,0.0007305785,0.3026545663,0.5364327042,1.8901617332,0.008301304752647927,0.003617707631087099,0.009926846947428463,0.00041114670461386133,Sips,[13.26386856  0.04215077  0.85238432]
acs.inorgchem.6b00433_ic6b00433_si_002_clean,0.0001897049,0.0976912766,0.1891276745,0.8095621336,0.00047336679649057425,0.0013590517343643473,0.0005798599594498421,2.0176735030579853e-05,Sips,[5.78631375 0.03378991 0.97646137]
acs.inorgchem.6b00894_ic6b00894_si_002_clean,0.0002822701,0.1422348707,0.2790897415,1.1180863237,0.0007615807838965219,0.004440109506611662,0.0003132886724471176,1.5494589573705335e-05,Sips,[3.90333013 0.07700629 1.02591802]
