Adsorbent,O2_30C_0.001bar,O2_30C_0.5bar,O2_30C_1bar,O2_30C_5bar,RMSE_Freundlich-Langmuir,best_model,best_params
ABAYIO_clean,0.0001909224,0.089400148,0.176397522,0.774938251,,Freundlich–Langmuir,"[nan, nan, nan]"
ABAYOU_clean,0.0001932425,0.093240888,0.183430225,0.807701397,1.8186625928766159e-06,Freundlich–Langmuir,[10.78062829  0.01758817  1.90092664]
ABETIN_clean,0.000265628,0.137274123,0.267925776,1.328418684,,Freundlich–Langmuir,"[nan, nan, nan]"
ABEXIQ_clean,6.64272e-05,0.028712393,0.056878497,0.264987823,4.220707681210949e-06,Freundlich–Langmuir,[1.51158877 0.03836164 0.51275102]
ABIYIV_clean,0.0001059677,0.053813034,0.106680006,0.426303799,0.0004513379070514387,Freundlich–Langmuir,[8.95514589e+02 1.25326872e-04 4.38710320e+02]
ABULOB_clean,0.000628982,0.300051429,0.564180331,2.045932797,7.645641654054517e-06,Freundlich–Langmuir,[1.95133719 0.33022077 0.46576027]
ABUWOJ_clean,0.0002954491,0.142436202,0.282843918,1.242418921,,Freundlich–Langmuir,"[nan, nan, nan]"
ac403674p_si_001_clean,5.4936e-05,0.034795318,0.069575481,0.336848534,,Freundlich–Langmuir,"[nan, nan, nan]"
ACAJIZ_clean,7.5638e-05,0.036709014,0.073767966,0.335435195,,Freundlich–Langmuir,"[nan, nan, nan]"
ACAJOF_clean,7.11577e-05,0.035975543,0.071586403,0.340293806,,Freundlich–Langmuir,"[nan, nan, nan]"
ACIBIY_clean,2.33085e-05,0.010586715,0.021447305,0.106228433,,Freundlich–Langmuir,"[nan, nan, nan]"
ACIBOE_clean,0.0001546389,0.085158669,0.167536331,0.785648143,9.798963109007309e-06,Freundlich–Langmuir,[0.18723685 0.93061758 0.05969073]
ACOGAB_clean,0.0003739038,0.196144062,0.388317087,1.494635279,0.0019327081402409757,Freundlich–Langmuir,[3.34872408e+03 1.23025828e-04 5.21574151e+02]
ACOGEF_clean,0.0003578107,0.180048309,0.359225605,1.365434328,0.0025185917777855904,Freundlich–Langmuir,[2.86223448e+03 1.33226980e-04 5.01286295e+02]
ACOLIP_clean,0.0003682019,0.158539682,0.309941617,1.270752958,,Freundlich–Langmuir,"[nan, nan, nan]"
ACOLOV_clean,0.0001595081,0.083315843,0.167277694,0.777000432,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.cgd.5b01554_VAGNUP1452791_clean,3.22968e-05,0.016318183,0.03208732,0.158660274,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.cgd.5b01686_WAHFUJ1434675_clean,0.0001493448,0.073526682,0.143478209,0.603297287,7.426530472626161e-07,Freundlich–Langmuir,[2.28907953 0.06589456 0.78387354]
acs.chemmater.5b03723_cm5b03723_si_004_clean,0.0006782578,0.242346391,0.422133474,1.514691542,8.280357942243623e-05,Freundlich–Langmuir,[ 0.03208539 26.36646363  0.21005256]
acs.chemmater.5b03723_cm5b03723_si_005_clean,0.0003631193,0.178707325,0.352446757,1.548888037,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.chemmater.6b02817_cm6b02817_si_004_clean,0.0002393332,0.10784637,0.216880663,0.993633747,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.chemrev.6b00346_cr6b00346_si_001_clean,0.0002996733,0.144778078,0.289392861,1.330683899,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.inorgchem.5b02973_ic5b02973_si_002_clean,0.0002829164,0.138749582,0.258696478,0.942257792,9.929554539510148e-06,Freundlich–Langmuir,[0.54714981 0.55347719 0.35762482]
acs.inorgchem.6b00081_ic6b00081_si_001_clean,0.0001090364,0.052653523,0.105305665,0.478129981,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.inorgchem.6b00136_ic6b00136_si_002_clean,0.0006688789,0.324647215,0.583210395,1.902466512,4.116547382865354e-05,Freundlich–Langmuir,[0.87065084 0.86311383 0.40736707]
acs.inorgchem.6b00276_ic6b00276_si_006_clean,0.0008768932,0.367748708,0.6440278,2.150491521,3.138168308277615e-05,Freundlich–Langmuir,[0.36693632 2.56274449 0.29792607]
acs.inorgchem.6b00433_ic6b00433_si_002_clean,0.0002421764,0.115565242,0.227620271,0.955252777,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.inorgchem.6b00894_ic6b00894_si_002_clean,0.0003744858,0.172902219,0.329828628,1.305646344,4.407624246309603e-06,Freundlich–Langmuir,[0.90996163 0.40190227 0.3057246 ]
acs.inorgchem.6b01211_ic6b01211_si_002_clean,0.000372725,0.173481582,0.330637807,1.362424039,1.2275577813148796e-06,Freundlich–Langmuir,[0.44250508 0.83688918 0.18643274]
acs.inorgchem.6b01416_ic6b01416_si_004_clean,0.0002365175,0.113057177,0.217886795,0.885902528,4.292133276860362e-07,Freundlich–Langmuir,[0.94322306 0.24986646 0.35195332]
acs.inorgchem.6b01569_ic6b01569_si_002_clean,4.89525e-05,0.027142781,0.053734848,0.258675697,3.0678903527956155e-06,Freundlich–Langmuir,[0.05006183 1.10044121 0.03356201]
acs.inorgchem.6b01740_ic6b01740_si_002_clean,0.0003592343,0.1589823,0.314594138,1.504159715,1.8409077582709028e-05,Freundlich–Langmuir,[0.45074956 0.71531421 0.0455812 ]
acs.inorgchem.6b01762_ic6b01762_si_002_clean,3.38235e-05,0.013569377,0.025953394,0.119833621,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.inorgchem.6b02407_ic6b02407_si_002_clean,0.0003825144,0.21904545,0.427763013,1.825288567,3.333212710726996e-05,Freundlich–Langmuir,[4.39265902 0.10226172 0.50224405]
acs.inorgchem.6b02407_ic6b02407_si_003_clean,0.0004046722,0.207110536,0.392755952,1.597448785,2.0635066180273496e-05,Freundlich–Langmuir,[0.4724207  0.94411911 0.19130034]
acs.inorgchem.6b02514_ic6b02514_si_002_clean,0.0001091828,0.054934381,0.108998859,0.493160944,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.inorgchem.6b02696_ic6b02696_si_002_clean,0.0002627926,0.137785761,0.269468035,1.203614528,1.0044664160419265e-05,Freundlich–Langmuir,[0.75741822 0.37350271 0.15324863]
