Adsorbent,O2_40C_0.001bar,O2_40C_0.5bar,O2_40C_1bar,O2_40C_5bar,RMSE_DSFL,model,fit_parameters
ABAYIO_clean,0.0001362103,0.0752126153,0.1442114173,0.657037656,7.449763623701324e-05,DSFL,"[2.0485651914479467e-35, 7.844104838840872, 10.203771689600883, 0.00033977590668930383, 617.1315324570362, 0.05816138636771173]"
ABAYOU_clean,0.0001613154,0.0783292913,0.1541352282,0.6849089753,1.7531737617410258e-10,DSFL,"[0.00027769218698437575, 7.941826748316032, 10.067232021353572, 3.340002561412685, 0.04768984063982271, 0.7053304172827304]"
ABETIN_clean,0.000239586,0.120539559,0.2412466546,1.156021767,0.0003229204139714996,DSFL,"[6.500223201276755e-08, 1.1318029397378049, 7.988545446253095e-32, 21.832844735535055, 0.011152503441716812, 0.9540760598025523]"
ABEXIQ_clean,5.35383e-05,0.0237194505,0.0475420118,0.2227788214,,DSFL,"[nan, nan, nan, nan, nan, nan]"
ABIYIV_clean,7.64716e-05,0.0438291261,0.0845655241,0.3549176012,7.434689360344487e-06,DSFL,"[0.20214500903498067, 0.13725318100732173, 1.9464093857139828, 0.6030012046352161, 0.10547870486968192, 0.10065741587937416]"
ABULOB_clean,0.0004473428,0.2411898236,0.4538187611,1.7309674395,3.630357487817547e-05,DSFL,"[0.29791545150854293, 0.6712364696494398, 0.060479878206801854, 0.7722067085084355, 0.4144801623880651, 0.5997862384767222]"
ABUWOJ_clean,0.0002458771,0.1169343853,0.2307873755,1.0194599549,0.00018782574743011403,DSFL,"[4.077346683680412e-10, 1.1295754800899358, 0.9635701946128631, 5.3149591177407345, 0.044891043730039146, 0.776154274888365]"
ac403674p_si_001_clean,8.14568e-05,0.0305804017,0.0610471428,0.2959155395,,DSFL,"[nan, nan, nan, nan, nan, nan]"
ACAJIZ_clean,7.01702e-05,0.0312175157,0.0627421396,0.288308192,0.00021146935621967484,DSFL,"[1.345930757608802e-15, 2.2816075364937274, 0.0015446700001314848, 2202.8064103291676, 2.8969385330186426e-05, 699.839185535898]"
ACAJOF_clean,6.58209e-05,0.0301833081,0.061384171,0.2980403765,,DSFL,"[nan, nan, nan, nan, nan, nan]"
