,Adsorbent,O2_10C_0.001bar,O2_10C_0.5bar,O2_10C_1bar,O2_10C_5bar,RMSE_Langmuir,RMSE_Freundlich,RMSE_Quadratic,RMSE_Sips,best_model,best_params
0,ABAYIO_clean,0.0002638719,0.132540072,0.252508328,1.090760451,0.0016178458978754714,0.0007706029585019016,0.0016785317592564366,6.2105008684955e-05,Sips,[1.75837255e+01 1.45697269e-02 9.39924745e-01]
1,ABAYOU_clean,0.000286783,0.139225872,0.272784979,1.159416119,0.00010415770533502743,0.0027996454372050685,0.00011169624267249821,4.0192851730332775e-06,Sips,[5.99843512 0.0476426  1.00360038]
2,ABETIN_clean,0.0003550387,0.178893518,0.351670648,1.740057024,0.00123089014610691,0.00091866325062466,0.0011474712167537013,,Freundlich,[0.35274293 1.00848545]
3,ABEXIQ_clean,0.0001011279,0.042123737,0.083814211,0.375028862,0.0001765454179824782,0.000734446917791154,0.0001382235528257411,1.2611689674308462e-05,Sips,[2.27147419 0.03831211 1.01976945]
4,ABIYIV_clean,0.000188994,0.087102195,0.165457136,0.593435662,3.722753055079315e-05,0.0032298822553319512,0.0005862990052108924,1.4416704225492847e-06,Sips,[1.69299449 0.10831623 0.99784204]
5,ABULOB_clean,0.0010267868,0.484422713,0.879297305,2.784901068,0.004387501807354748,0.019279941537072423,0.009979796787074587,0.00019123165712192226,Sips,[6.92851196 0.14535913 0.95138327]
6,ABUWOJ_clean,0.0004401993,0.226331845,0.43520245,1.843864028,0.0016015895202685585,0.0029240601948776063,0.0018597172401452777,6.521420727557049e-05,Sips,[13.96763324  0.03216015  0.96538216]
7,ac403674p_si_001_clean,8.90342e-05,0.046070456,0.092070821,0.438881712,0.00010786638473844804,0.00037225067372168843,9.392242768700057e-05,1.1238876473956922e-06,Sips,[5.56904483 0.01681052 1.01096629]
8,ACAJIZ_clean,0.0001093561,0.053821417,0.104594534,0.471094146,0.0003436866440034986,0.00035408786670386314,0.0003548605141366752,1.100000637207713e-05,Sips,[6.95958093 0.01525823 0.96922649]
9,ACAJOF_clean,8.71682e-05,0.049845954,0.101629175,0.474427808,0.0006180419305431882,0.0010041694129642386,0.000561013912686626,7.97454285058875e-06,Sips,[2.61245794 0.04047628 1.05720659]
10,ACIBIY_clean,2.68048e-05,0.015701763,0.029695013,0.143350696,0.0003423453995507991,0.0002537311011851377,0.0003211586274830897,,Freundlich,[0.02999376 1.02893835]
