Adsorbent,O2_20C_0.001bar,O2_20C_0.5bar,O2_20C_1bar,O2_20C_5bar,O2_20C_15bar,RMSE_Langmuir,RMSE_Freundlich,RMSE_Quadratic,RMSE_Sips,best_model,best_params
ABAYIO_clean,0.0002279671,0.107577674,0.207035731,0.909236519,2.19816193,0.0033734194645597066,0.018980355676770515,0.004133589867210124,0.0003325808736145343,Sips,[8.50493535 0.02500792 0.97286381]
ABAYOU_clean,0.0002290903,0.114573175,0.218616597,0.954939269,2.278860175,0.0036621780321197278,0.02132463888975736,0.004606515411972347,0.0006890753712973382,Sips,[8.31238065 0.02713319 0.97241577]
ABETIN_clean,0.0002951422,0.157023479,0.307883694,1.513493696,4.284861006,0.0011824734540846415,0.009631034106437751,0.0010892686952735599,0.001135084144059518,Quadratic,[-1.69681166e-03  3.11098099e-01  1.92143230e-04]
ABEXIQ_clean,7.53502e-05,0.034678939,0.068649983,0.312973013,0.778791929,0.00020289235545982554,0.006292648908723915,0.0006274448516363081,5.684293995549231e-05,Sips,[3.11384705 0.02251725 0.99533792]
ABIYIV_clean,0.0001398337,0.067580099,0.128687427,0.497930336,1.007825192,0.0026566721811237207,0.02017309913940283,0.005794943132544216,0.00014558286119228006,Sips,[2.21238016 0.0616535  0.96301774]
ABULOB_clean,0.0007640855,0.37634139,0.696500728,2.3864042,3.976254502,0.002789995305651561,0.15536545442287,0.04846295868341894,0.0027414730391701592,Sips,[5.95823526 0.13323044 1.00148504]
ABUWOJ_clean,0.0003668328,0.179857109,0.353789373,1.488952345,3.388001899,0.005731173605199018,0.04180789927477244,0.009584835344439616,0.0014157256996067834,Sips,[10.16197908  0.03586002  0.97312424]
ac403674p_si_001_clean,6.63021e-05,0.039870267,0.079437438,0.383578221,1.028045554,0.0005510753029032508,0.0051426773561240105,0.00019116859263495318,7.465791967445935e-05,Sips,[5.87700944 0.01371969 1.01099271]
ACAJIZ_clean,9.11301e-05,0.043398872,0.088096347,0.389680367,0.997588082,0.0019190195744914814,0.005383017387106662,0.001960164743226251,0.0008183114083167468,Sips,[5.65736386 0.01560955 0.96692214]
ACAJOF_clean,9.2505e-05,0.042294345,0.083610272,0.398356692,1.034668217,0.000601510522706454,0.006748202401470855,0.00013923921305153528,0.00017962760829513626,Quadratic,[-1.06924514e-03  8.50221049e-02 -7.80811794e-05]
ACIBIY_clean,2.91356e-05,0.012636697,0.024870156,0.119676265,0.334665598,0.00014599603540295695,0.0007700910067055914,0.00011878589578927233,3.3176523589963746e-05,Sips,[3.80338124 0.00659416 0.9908104 ]
ACIBOE_clean,0.0001970399,0.100038926,0.201387294,0.928003268,2.327992028,0.0007643116208199131,0.01869725973656583,0.0013345237284128483,0.0006091434642031809,Sips,[9.29455159 0.02205261 1.00374916]
ACOGAB_clean,0.00050004,0.250968266,0.477301679,1.745369293,3.278811729,0.008702454995285993,0.08597727530367207,0.027114453856755902,0.0012036653758042862,Sips,[6.12214784 0.08422121 0.9662946 ]
ACOGEF_clean,0.0004763994,0.226430801,0.436136507,1.609583916,3.006540345,0.004771048580056869,0.08289584890792044,0.023230585535680384,0.001477282240221208,Sips,[5.44490613 0.08661316 0.98067362]
ACOLIP_clean,0.0004008031,0.198430139,0.386439396,1.530598022,3.111162193,0.003649166466923503,0.06494152825508176,0.014425979195739198,0.0011080785009048217,Sips,[6.61871565 0.06173783 0.98407064]
ACOLOV_clean,0.0001706736,0.097239302,0.197646433,0.893275426,2.457220022,0.005484032383479364,0.004340963222948605,0.004580241247379646,0.001960333548126021,Sips,[4.12003383e+01 4.75321993e-03 9.56776630e-01]
acs.cgd.5b01554_VAGNUP1452791_clean,3.87561e-05,0.018201547,0.035813446,0.177216163,0.495662485,0.00029823692329550966,0.0015545069769643059,0.00021775791099915693,0.00014691543503879198,Sips,[4.19573134 0.00865778 1.01146178]
acs.cgd.5b01686_WAHFUJ1434675_clean,0.0002074867,0.089362936,0.175583929,0.733831517,1.62927467,0.0021754971407951704,0.02324374718176575,0.004767172135185637,0.0005926757692845266,Sips,[4.41524722 0.04120939 0.97952849]
acs.chemmater.5b03723_cm5b03723_si_004_clean,0.0008201156,0.292320249,0.504743501,1.778285578,3.794519954,0.04463568563103232,0.03344390872968741,0.04119092700651637,0.00200405933529688,Sips,[15.64400234  0.03354009  0.83318616]
acs.chemmater.5b03723_cm5b03723_si_005_clean,0.0003946949,0.213640455,0.423997049,1.788804647,4.300958743,0.012297380371980433,0.03448388569920488,0.013261460581545294,0.00326198321688772,Sips,[17.94813763  0.02392547  0.95201217]
